date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2022-06-13,170.59,164.26,O:META220617C00165000,O:META220617P00165000,165.0,165.0,2022-06-17,4,1693,13636,15329,4.75,5.46,0.7436253963828088,0.7392513957262039,0.7414383960545063,0.0685880651578924,0.0685873175416773,0.0685876913497848
2022-06-14,166.03,163.73,O:META220617C00162500,O:META220617P00162500,162.5,162.5,2022-06-17,3,1586,5048,6634,5.14,3.85,0.7626323263883592,0.7523944970369341,0.7575134117126466,0.0586101157602207,0.0586014994111264,0.0586058075856735
2022-06-15,167.2,169.35,O:META220617C00170000,O:META220617P00170000,170.0,170.0,2022-06-17,2,19877,8187,28064,3.05,3.7,0.6716383789539339,0.6716383789539339,0.6716383789539339,0.0499427272958851,0.0499427272958851,0.0499427272958851
2022-06-16,163.72,160.87,O:META220617C00160000,O:META220617P00160000,160.0,160.0,2022-06-17,1,4922,17499,22421,3.0,2.25,0.7586281006217004,0.7947755630016325,0.7767018318116665,0.0331837739237559,0.0332106538765334,0.0331972139001447
2022-06-17,161.68,163.74,O:META220624C00162500,O:META220624P00162500,162.5,162.5,2022-06-24,7,3303,3214,6517,5.15,3.85,0.4997545650720597,0.4930517693638802,0.4964031672179699,0.0895234688703664,0.0895101152091478,0.0895167920397571
2022-06-21,165.93,157.05,O:META220624C00157500,O:META220624P00157500,157.5,157.5,2022-06-24,3,7735,10315,18050,3.65,4.15,0.6805973736763002,0.6894008054614069,0.6849990895688536,0.0567949731110591,0.0567958189144168,0.056795396012738
2022-06-22,158.38,155.85,O:META220624C00155000,O:META220624P00155000,155.0,155.0,2022-06-24,2,3612,24094,27706,3.55,3.0,0.6768928300738335,0.7426330121278764,0.7097629211008549,0.0456115378714294,0.0456546146373538,0.0456330762543916
2022-06-23,156.27,158.75,O:META220624C00160000,O:META220624P00160000,160.0,160.0,2022-06-24,1,41838,4020,45858,1.35,2.65,0.5740256755590438,0.5895583666324615,0.5817920210957527,0.0321613785744638,0.0322182080022594,0.0321897932883616
2022-06-24,161.725,170.16,O:META220701C00170000,O:META220701P00170000,170.0,170.0,2022-07-01,7,19927,1987,21914,4.66,4.55,0.4874609804451466,0.492785703098774,0.4901233417719603,0.0939023139802555,0.0939013350029761,0.0939018244916158
2022-06-27,171.32,169.49,O:META220701C00170000,O:META220701P00170000,170.0,170.0,2022-07-01,4,14336,4124,18460,3.76,4.25,0.5657182570934295,0.5628920182585715,0.5643051376760004,0.0707686371951673,0.0707680295812107,0.070768333388189
2022-06-28,169.9,160.68,O:META220701C00160000,O:META220701P00160000,160.0,160.0,2022-07-01,3,3215,15331,18546,3.85,3.1,0.6035225541591644,0.591410459625721,0.5974665068924427,0.0577960358787907,0.0577897115248814,0.0577928737018361
2022-06-29,163.57,163.94,O:META220701C00165000,O:META220701P00165000,165.0,165.0,2022-07-01,2,25603,4211,29814,2.47,3.45,0.6115352970838548,0.5948875594854355,0.6032114282846451,0.0480673495587121,0.0480403701951437,0.0480538598769279
2022-06-30,162.15,161.25,O:META220701C00162500,O:META220701P00162500,162.5,162.5,2022-07-01,1,10947,14001,24948,1.55,3.06,0.626182888686657,0.7050332713842393,0.6656080800354481,0.0328721764744985,0.0330642114712809,0.0329681939728897
2022-07-01,160.31,160.03,O:META220708C00160000,O:META220708P00160000,160.0,160.0,2022-07-08,7,9254,2391,11645,4.05,4.15,0.4564998433470726,0.4712125210523605,0.4638561821997166,0.0883597497482281,0.0883568825026987,0.0883583161254634
